Occupation Code,Title,Description,Sample Job Titles,Tasks,Knowledge,Skills,Abilities,Work Activities,Detailed Work Activities,Tools Used,Technology Used,Job Zone,Education Level,Experience Required,Job Training,SVP Range,Job Zone Examples,Interests,Work Styles,Work Values,Work Context,Additional Sources,Related Occupations,Annual 10th Percentile,Annual 25th Percentile,Annual Median Wage,Annual 75th Percentile,Annual 90th Percentile
13-2011.00,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.","Accountant, Accounting Officer, Audit Partner, Auditor, Certified Public Accountant (CPA), Cost Accountant, Financial Auditor, General Accountant, Internal Auditor, Revenue Tax Specialist","Prepare detailed reports on audit findings., Report to management about asset utilization and audit results, and recommend changes in operations and financial activities., Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies., Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions., Supervise auditing of establishments, and determine scope of investigation required.","Economics and Accounting, English Language, Mathematics, Administration and Management, Customer and Personal Service","Reading Comprehension, Active Listening, Critical Thinking, Speaking, Judgment and Decision Making","Oral Comprehension, Oral Expression, Written Comprehension, Deductive Reasoning, Inductive Reasoning","Getting Information, Communicating with Supervisors, Peers, or Subordinates, Working with Computers, Evaluating Information to Determine Compliance with Standards, Documenting/Recording Information","Prepare financial documents, reports, or budgets., Advise others on financial matters., Report information to managers or other personnel., Advise others on business or operational matters., Examine financial records.","Photocopying equipment, Computer data input scanners, Laptop computers, Personal digital assistants PDA, Laser facsimile machines","Intuit QuickBooks, Sage 50 Accounting, SAP Concur, Summit Software Summit Biofuels Accounting, Google Docs, Microsoft OneNote, Microsoft Word, Delphi Technology, Oracle E-Business Suite Financials, TopCAATs, Tropics workers' compensation software, ATX Total Tax Office, Intuit TurboTax, NewPortWave Year End Solutions, Thomson GoSystem Tax, Microsoft Dynamics, Oracle PeopleSoft, SAP software, Workday software",Job Zone Four: Considerable Preparation Needed,"Most of these occupations require a four-year bachelor's degree, but some do not.","A considerable amount of work-related skill, knowledge, or experience is needed for these occupations. For example, an accountant must complete four years of college and work for several years in accounting to be considered qualified.","Employees in these occupations usually need several years of work-related experience, on-the-job training, and/or vocational training.",(7.0 to < 8.0),"Many of these occupations involve coordinating, supervising, managing, or training others. Examples include real estate brokers, sales managers, database administrators, graphic designers, conservation scientists, art directors, and cost estimators.","Conventional, Enterprising, Investigative","Attention to Detail, Integrity, Dependability, Analytical Thinking, Cooperation","Achievement, Independence, Recognition","E-Mail, Telephone Conversations, Face-to-Face Discussions with Individuals and Within Teams, Importance of Being Exact or Accurate, Indoors, Environmentally Controlled","AACSB, AICPA and CIMA, American Accounting Association, Association for Financial Professionals, Association of Government Accountants, Eastern Association of College and University Business Officers, Financial Executives International, Financial Management Association International, Government Finance Officers Association, Institute for Professionals in Taxation","Bookkeeping, Accounting, and Auditing Clerks (43-3031.00), Budget Analysts (13-2031.00), Financial Examiners (13-2061.00), Tax Preparers (13-2082.00), Treasurers and Controllers (11-3031.01)",50440.0,62720,79880,103990,137280
27-2011.00,Actors,"Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.","Actor, Actress, Comedian, Comic, Community Theater Actor, Ensemble Member, Narrator, Performer, Tour Actor, Voice-Over Artist","Collaborate with other actors as part of an ensemble., Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences., Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role., Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures., Study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed.","Fine Arts, English Language, Communications and Media, Sociology and Anthropology, Psychology","Reading Comprehension, Speaking, Active Listening, Social Perceptiveness, Critical Thinking","Oral Expression, Oral Comprehension, Memorization, Speech Clarity, Written Comprehension","Establishing and Maintaining Interpersonal Relationships, Thinking Creatively, Performing for or Working Directly with the Public, Performing General Physical Activities, Communicating with Supervisors, Peers, or Subordinates","Collaborate with others to prepare or perform artistic productions., Entertain public with comedic or dramatic performances., Study scripts to determine project requirements., Practice athletic or artistic skills., Audition for roles.","Wireless microphones, Photography tripods, Laptop computers, MP3 digital voice recorders, Digital still cameras","Apple Final Cut Pro, Motion capture software, TikTok, YouTube, Facebook, Instagram, LinkedIn, Website development software, Email software, Microsoft Outlook, Microsoft Excel, Zoom",Job Zone Two: Some Preparation Needed,These occupations usually require a high school diploma.,"Some previous work-related skill, knowledge, or experience is usually needed. For example, a teller would benefit from experience working directly with the public.",Employees in these occupations need anywhere from a few months to one year of working with experienced employees. A recognized apprenticeship program may be associated with these occupations.,(4.0 to < 6.0),"These occupations often involve using your knowledge and skills to help others. Examples include orderlies, counter and rental clerks, customer service representatives, security guards, upholsterers, tellers, and dental laboratory technicians.","Artistic, Social, Enterprising","Cooperation, Persistence, Adaptability/Flexibility, Dependability, Initiative","Relationships, Achievement, Independence","Work With or Contribute to a Work Group or Team, Physical Proximity, Contact With Others, E-Mail, Time Pressure","Actors' Equity Association, American Association of Community Theatre, Network of Ensemble Theaters, Screen Actors Guild - American Federation of Television and Radio Artists, Society of American Fight Directors, The National Academy of Television Arts and Sciences","Choreographers (27-2032.00), Music Directors and Composers (27-2041.00), Musicians and Singers (27-2042.00), Poets, Lyricists and Creative Writers (27-3043.05), Talent Directors (27-2012.04)",,,,,
15-2011.00,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.","Actuarial Analyst, Actuarial Associate, Actuarial Consultant, Actuary, Consulting Actuary, Corporate Actuary, Health Actuary, Pricing Actuary, Product Development Actuary, Reserving Actuary","Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits., Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business., Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates., Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums., Determine, or help determine, company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public.","Mathematics, Computers and Electronics, Economics and Accounting, English Language, Law and Government","Critical Thinking, Judgment and Decision Making, Mathematics, Reading Comprehension, Active Listening","Mathematical Reasoning, Inductive Reasoning, Number Facility, Category Flexibility, Deductive Reasoning","Analyzing Data or Information, Processing Information, Working with Computers, Getting Information, Making Decisions and Solving Problems","Manage financial activities of the organization., Collaborate with others to develop or implement marketing strategies., Analyze health-related data., Develop organizational goals or objectives., Analyze data to identify trends or relationships among variables.",10-key calculators,"Microsoft Access, Microsoft SQL Server, Oracle Database, Structured query language SQL, Microsoft PowerPoint, GGY AXIS, Oak Mountain Software AnnuityValue, Pricing software, Towers Perrin MoSes, IBM SPSS Statistics, Insightful S-PLUS, SAS, Statistical software, C++, Oracle Java, Python, R",Job Zone Four: Considerable Preparation Needed,"Most of these occupations require a four-year bachelor's degree, but some do not.","A considerable amount of work-related skill, knowledge, or experience is needed for these occupations. For example, an accountant must complete four years of college and work for several years in accounting to be considered qualified.","Employees in these occupations usually need several years of work-related experience, on-the-job training, and/or vocational training.",(7.0 to < 8.0),"Many of these occupations involve coordinating, supervising, managing, or training others. Examples include real estate brokers, sales managers, database administrators, graphic designers, conservation scientists, art directors, and cost estimators.","Conventional, Investigative, Enterprising","Analytical Thinking, Attention to Detail, Integrity, Dependability, Achievement/Effort","Working Conditions, Achievement, Independence","E-Mail, Indoors, Environmentally Controlled, Spend Time Sitting, Face-to-Face Discussions with Individuals and Within Teams, Telephone Conversations","American Academy of Actuaries, Casualty Actuarial Society, American Society of Pension Professionals and Actuaries, Be an Actuary, CFA Institute, Conference of Consulting Actuaries, LOMA, Society of Actuaries, Society of Chartered Property and Casualty Underwriters","Accountants and Auditors (13-2011.00), Compensation, Benefits, and Job Analysis Specialists (13-1141.00), Financial and Investment Analysts (13-2051.00), Financial Risk Specialists (13-2054.00), Personal Financial Advisors (13-2052.00)",75380.0,88420,120000,164320,209310
29-1291.00,Acupuncturists,"Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies.","Acupuncture Physician, Acupuncture Provider, Acupuncturist, Chinese Medical Doctor, Herbalist, Licensed Acupuncturist (LAC), Oriental Medicine Provider, Traditional Chinese Medicine Doctor, Traditional Chinese Medicine Practitioner","Develop individual treatment plans and strategies., Adhere to local, state, and federal laws, regulations, and statutes., Insert needles to provide acupuncture treatment., Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding., Collect medical histories and general health and lifestyle information from patients.","Medicine and Dentistry, Customer and Personal Service, Therapy and Counseling, Psychology, Sales and Marketing","Active Listening, Critical Thinking, Social Perceptiveness, Service Orientation, Judgment and Decision Making","Deductive Reasoning, Oral Comprehension, Oral Expression, Problem Sensitivity, Inductive Reasoning","Assisting and Caring for Others, Updating and Using Relevant Knowledge, Establishing and Maintaining Interpersonal Relationships, Documenting/Recording Information, Getting Information","Follow protocols or regulations for healthcare activities., Develop treatment plans that use non-medical therapies., Treat patients using alternative medical procedures., Collect medical information from patients, family members, or other medical professionals., Analyze test data or images to inform diagnosis or treatment.","Digital electronic acupunctoscopes, Electroacupuncture stimulation units, Microcurrent systems, Pulsed magnetic field generators, Glass cupping sets, Magnetic cupping sets, Therapeutic cooling packs, Therapeutic heating packs, Angle tip forceps, Dressing forceps, Lockable forceps, Splinter forceps, Filiform acupuncture needles, Intradermal acupuncture needles, Press needles, Seven-star needles, Moxa boxes, Moxa burners, Moxa cans, Tiger warmers","Microsoft Excel, Electronic health record EHR software, Miridia Technology AcuGraph, QPuncture II, Trigram Software AcuBase Pro, Microsoft Outlook, Microsoft Office software, Microsoft Windows",Job Zone Five: Extensive Preparation Needed,"Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree).","Extensive skill, knowledge, and experience are needed for these occupations. Many require more than five years of experience. For example, surgeons must complete four years of college and an additional five to seven years of specialized medical training to be able to do their job.","Employees may need some on-the-job training, but most of these occupations assume that the person will already have the required skills, knowledge, work-related experience, and/or training.",(8.0 and above),"These occupations often involve coordinating, training, supervising, or managing the activities of others to accomplish goals. Very advanced communication and organizational skills are required. Examples include pharmacists, lawyers, astronomers, biologists, clergy, physician assistants, and veterinarians.","Social, Investigative, Realistic","Integrity, Dependability, Self-Control, Attention to Detail, Adaptability/Flexibility","Achievement, Independence, Relationships","Indoors, Environmentally Controlled, Physical Proximity, E-Mail, Freedom to Make Decisions, Health and Safety of Other Workers","American Association of Acupuncture and Oriental Medicine, American Society of Acupuncturists, National Acupuncture Detoxification Association, National Certification Commission for Acupuncture and Oriental Medicine","Cardiologists (29-1212.00), Chiropractors (29-1011.00), Emergency Medicine Physicians (29-1214.00), General Internal Medicine Physicians (29-1216.00), Naturopathic Physicians (29-1299.01)",41600.0,52000,78220,99740,140660
29-1141.01,Acute Care Nurses,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.","Cardiac Interventional Care Nurse, Charge Nurse, Preceptor, Progressive Care Unit RN (Progressive Care Unit Registered Nurse), Staff Nurse","Perform emergency medical procedures, such as basic cardiac life support (BLS), advanced cardiac life support (ACLS), and other condition-stabilizing interventions., Manage patients' pain relief and sedation by providing pharmacologic and non-pharmacologic interventions, monitoring patients' responses, and changing care plans accordingly., Document data related to patients' care, including assessment results, interventions, medications, patient responses, or treatment changes., Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability., Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions.","Medicine and Dentistry, Customer and Personal Service, English Language, Education and Training, Psychology","Active Listening, Critical Thinking, Monitoring, Reading Comprehension, Service Orientation","Oral Comprehension, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Information Ordering","Assisting and Caring for Others, Documenting/Recording Information, Getting Information, Communicating with Supervisors, Peers, or Subordinates, Organizing, Planning, and Prioritizing Work","Treat medical emergencies., Administer anesthetics or sedatives to control pain., Monitor patients following surgeries or other treatments., Record patient medical histories., Diagnose medical conditions.","Alligator forceps, Occlusion clamps, Ring forceps, Nasal suctioning equipment, Oral suctioning equipment, Tracheal suctioning equipment, Pill crushers, Pill splitters, Crash carts, Pediatric crash carts, Transcutaneous pacemakers, Transvenous pacemakers","Bizmatics PrognoCIS EMR, eClinicalWorks EHR software, GE Healthcare Centricity EMR, StatCom Patient Flow Logistics Enterprise Suite, Microsoft PowerPoint, IBM Lotus Notes, Microsoft Outlook, Microsoft Excel, SAP software",Job Zone Three: Medium Preparation Needed,"Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree.","Previous work-related skill, knowledge, or experience is required for these occupations. For example, an electrician must have completed three or four years of apprenticeship or several years of vocational training, and often must have passed a licensing exam, in order to perform the job.",Employees in these occupations usually need one or two years of training involving both on-the-job experience and informal training with experienced workers. A recognized apprenticeship program may be associated with these occupations.,(6.0 to < 7.0),"These occupations usually involve using communication and organizational skills to coordinate, supervise, manage, or train others to accomplish goals. Examples include hydroelectric production managers, desktop publishers, electricians, agricultural technicians, barbers, court reporters and simultaneous captioners, and medical assistants.","Social, Investigative, Realistic","Integrity, Stress Tolerance, Attention to Detail, Dependability, Adaptability/Flexibility","Relationships, Support, Achievement","Exposed to Disease or Infections, Telephone Conversations, Face-to-Face Discussions with Individuals and Within Teams, Importance of Being Exact or Accurate, Indoors, Environmentally Controlled","American Association of Colleges of Nursing, American Association of Critical-Care Nurses, American College of Cardiology, American Heart Association, American Nurses Association, American Society of Registered Nurses, National Association of Clinical Nurse Specialists, National Council of State Boards of Nursing, National League for Nursing, National Student Nurses' Association","Advanced Practice Psychiatric Nurses (29-1141.02), Clinical Nurse Specialists (29-1141.04), Critical Care Nurses (29-1141.03), Paramedics (29-2043.00), Registered Nurses (29-1141.00)",63720.0,75990,86070,104670,132680
25-2059.01,Adapted Physical Education Specialists,"Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments.","Adapted Physical Activity Specialist, Adapted Physical Education Specialist (APE Specialist), Adapted Physical Education Teacher (Adapted PE Teacher), Adapted Physical Educator, Certified Adapted Physical Educator, DAPE Specialist (Developmental Adapted Physical Education Specialist), DAPE Teacher (Developmental Adapted Physical Education Teacher)","Adapt instructional techniques to the age and skill levels of students., Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement., Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals., Provide students positive feedback to encourage them and help them develop an appreciation for physical education., Establish and maintain standards of behavior to create safe, orderly, and effective environments for learning.","Education and Training, Psychology, English Language, Therapy and Counseling, Customer and Personal Service","Instructing, Active Learning, Active Listening, Social Perceptiveness, Speaking","Oral Expression, Oral Comprehension, Deductive Reasoning, Near Vision, Problem Sensitivity","Performing General Physical Activities, Assisting and Caring for Others, Getting Information, Communicating with Supervisors, Peers, or Subordinates, Developing Objectives and Strategies","Modify teaching methods or materials to accommodate student needs., Teach physical education., Encourage students., Establish rules or policies governing student behavior., Assist students with special educational needs.","Kickboards, Personal flotation devices, Electric wheelchairs, Medicine balls, Beeper balls, Emergency first aid kits","Email software, Microsoft Outlook, Microsoft PowerPoint, Database software, Individualized Educational Program IEP software, Student record software, Microsoft Excel, Microsoft Office software",Job Zone Five: Extensive Preparation Needed,"Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree).","Extensive skill, knowledge, and experience are needed for these occupations. Many require more than five years of experience. For example, surgeons must complete four years of college and an additional five to seven years of specialized medical training to be able to do their job.","Employees may need some on-the-job training, but most of these occupations assume that the person will already have the required skills, knowledge, work-related experience, and/or training.",(8.0 and above),"These occupations often involve coordinating, training, supervising, or managing the activities of others to accomplish goals. Very advanced communication and organizational skills are required. Examples include pharmacists, lawyers, astronomers, biologists, clergy, physician assistants, and veterinarians.","Social, Realistic","Adaptability/Flexibility, Cooperation, Concern for Others, Dependability, Integrity","Relationships, Achievement, Independence","Face-to-Face Discussions with Individuals and Within Teams, E-Mail, Physical Proximity, Freedom to Make Decisions, Determine Tasks, Priorities and Goals","Council for Exceptional Children, International Federation of Adapted Physical Activity, National Consortium for Physical Education for Individuals with Disabilities, North American Federation of Adapted Physical Activity, Society of Health and Physical Educators","Special Education Teachers, Elementary School (25-2056.00), Special Education Teachers, Kindergarten (25-2055.00), Special Education Teachers, Middle School (25-2057.00), Special Education Teachers, Preschool (25-2051.00), Special Education Teachers, Secondary School (25-2058.00)",43530.0,53780,67190,91050,114360
51-9191.00,Adhesive Bonding Machine Operators and Tenders,"Operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; or joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials.","Coater Operator, Glue Line Operator, Glue Reel Operator, Gluer Machine Operator, Gluing Pressman, Machine Operator, Perfect Bind Machine Operator, Sealer Operator, Utility Worker","Align and position materials being joined to ensure accurate application of adhesive or heat sealing., Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required., Monitor machine operations to detect malfunctions and report or resolve problems., Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings., Fill machines with glue, cement, or adhesives.","Production and Processing, Mechanical, English Language","Operation and Control, Operations Monitoring, Active Listening, Monitoring, Quality Control Analysis","Arm-Hand Steadiness, Manual Dexterity, Static Strength, Control Precision, Near Vision","Controlling Machines and Processes, Handling and Moving Objects, Inspecting Equipment, Structures, or Materials, Getting Information, Performing General Physical Activities","Align parts or workpieces to ensure proper assembly., Adjust equipment controls to regulate flow of production materials or products., Notify others of equipment repair or maintenance needs., Watch operating equipment to detect malfunctions., Adjust temperature controls of ovens or other heating equipment.","Edge gluers, Fiberized spray applicators, Spray glue systems, Top coat gluers, Adhesive pumps, Drum pumps, Operator consoles, Pressure tanks, Multipurpose screwdrivers","Microsoft Excel, Microsoft PowerPoint, SAP software, Microsoft Office software, Microsoft Word",Job Zone Two: Some Preparation Needed,These occupations usually require a high school diploma.,"Some previous work-related skill, knowledge, or experience is usually needed. For example, a teller would benefit from experience working directly with the public.",Employees in these occupations need anywhere from a few months to one year of working with experienced employees. A recognized apprenticeship program may be associated with these occupations.,(4.0 to < 6.0),"These occupations often involve using your knowledge and skills to help others. Examples include orderlies, counter and rental clerks, customer service representatives, security guards, upholsterers, tellers, and dental laboratory technicians.","Realistic, Conventional","Attention to Detail, Dependability, Cooperation, Self-Control, Integrity","Support, Relationships, Achievement","Exposed to Contaminants, Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls, Contact With Others, Spend Time Standing, Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets",The Adhesive and Sealant Council,"Cutting and Slicing Machine Setters, Operators, and Tenders (51-9032.00), Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders (51-9041.00), Machine Feeders and Offbearers (53-7063.00), Paper Goods Machine Setters, Operators, and Tenders (51-9196.00), Rolling Machine Setters, Operators, and Tenders, Metal and Plastic (51-4023.00)",31200.0,35660,43540,50350,58840
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.","Adjudications Specialist, Adjudicator, Administrative Hearings Officer, Administrative Judge, Administrative Law Judge, Appeals Examiner, Appeals Referee, Claims Adjudicator, Hearings Officer, Workers' Compensation Hearings Officer","Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence., Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties., Prepare written opinions and decisions., Authorize payment of valid claims and determine method of payment., Conduct hearings to review and decide claims regarding issues, such as social program eligibility, environmental protection, or enforcement of health and safety regulations.","Law and Government, English Language, Customer and Personal Service, Administrative, Medicine and Dentistry","Active Listening, Critical Thinking, Reading Comprehension, Judgment and Decision Making, Writing","Inductive Reasoning, Oral Comprehension, Written Comprehension, Deductive Reasoning, Written Expression","Making Decisions and Solving Problems, Getting Information, Evaluating Information to Determine Compliance with Standards, Updating and Using Relevant Knowledge, Processing Information","Make decisions in legal cases., Direct courtroom activities or procedures., Prepare written decisions for legal proceedings., Authorize payments to settle legal disputes., Conduct hearings to investigate legal issues.","Courtroom microphones, Videoconferencing equipment, Teleconferencing equipment, Gavels, Laptop computers","Email software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Access, Online databases, LexisNexis, Thomson Reuters Westlaw, Microsoft Excel",Job Zone Five: Extensive Preparation Needed,"Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree).","Extensive skill, knowledge, and experience are needed for these occupations. Many require more than five years of experience. For example, surgeons must complete four years of college and an additional five to seven years of specialized medical training to be able to do their job.","Employees may need some on-the-job training, but most of these occupations assume that the person will already have the required skills, knowledge, work-related experience, and/or training.",(8.0 and above),"These occupations often involve coordinating, training, supervising, or managing the activities of others to accomplish goals. Very advanced communication and organizational skills are required. Examples include pharmacists, lawyers, astronomers, biologists, clergy, physician assistants, and veterinarians.","Conventional, Enterprising, Investigative","Integrity, Attention to Detail, Self-Control, Independence, Stress Tolerance","Recognition, Achievement, Working Conditions","Indoors, Environmentally Controlled, Spend Time Sitting, E-Mail, Frequency of Decision Making, Deal With External Customers or the Public in General","American Bar Association, American Federation of State, County and Municipal Employees, AFL-CIO, Association of Administrative Law Judges, International Association of Workforce Professionals, National Association of Administrative Law Judiciary, National Association of Hearing Officials, National Association of Unemployment Insurance Appeals Professionals, National Center for State Courts, The National Judicial College","Arbitrators, Mediators, and Conciliators (23-1022.00), Claims Adjusters, Examiners, and Investigators (13-1031.00), Judges, Magistrate Judges, and Magistrates (23-1023.00), Judicial Law Clerks (23-1012.00), Lawyers (23-1011.00)",53140.0,75730,111090,160350,195000
11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.","Administrative Coordinator, Administrative Director, Administrative Manager, Administrative Officer, Administrator, Business Administrator, Business Manager","Prepare and review operational reports and schedules to ensure accuracy and efficiency., Set goals and deadlines for the department., Acquire, distribute and store supplies., Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records., Conduct classes to teach procedures to staff.","Customer and Personal Service, Administration and Management, English Language, Administrative, Computers and Electronics","Active Listening, Reading Comprehension, Time Management, Speaking, Coordination","Oral Comprehension, Oral Expression, Written Comprehension, Written Expression, Deductive Reasoning","Getting Information, Communicating with Supervisors, Peers, or Subordinates, Organizing, Planning, and Prioritizing Work, Making Decisions and Solving Problems, Scheduling Work and Activities","Prepare operational budgets., Hire personnel., Direct administrative or support services., Develop organizational goals or objectives., Prepare operational progress or status reports.","Photocopying equipment, Personal digital assistants PDA, Laptop computers, Multi-line telephone systems","Microsoft Dynamics, Microsoft Dynamics GP, Oracle PeopleSoft, SAP software, Google Docs, Microsoft Word, Database software, Microsoft Access, Sage 300 Construction and Real Estate, Yardi software, Email software, IBM Notes, MicroFocus GroupWise, Microsoft Outlook, Fund accounting software, Intuit QuickBooks, Sage 50 Accounting",Job Zone Three: Medium Preparation Needed,"Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree.","Previous work-related skill, knowledge, or experience is required for these occupations. For example, an electrician must have completed three or four years of apprenticeship or several years of vocational training, and often must have passed a licensing exam, in order to perform the job.",Employees in these occupations usually need one or two years of training involving both on-the-job experience and informal training with experienced workers. A recognized apprenticeship program may be associated with these occupations.,(6.0 to < 7.0),"These occupations usually involve using communication and organizational skills to coordinate, supervise, manage, or train others to accomplish goals. Examples include hydroelectric production managers, desktop publishers, electricians, agricultural technicians, barbers, court reporters and simultaneous captioners, and medical assistants.","Enterprising, Conventional, Social","Integrity, Dependability, Self-Control, Stress Tolerance, Attention to Detail","Relationships, Independence, Recognition","E-Mail, Face-to-Face Discussions with Individuals and Within Teams, Telephone Conversations, Work With or Contribute to a Work Group or Team, Contact With Others","American Society for Public Administration, ARMA International, Association of Executive and Administrative Professionals, Institute of Certified Records Managers, International Facility Management Association, National Association of College and University Business Officers, National Notary Association, Society for Human Resource Management","Executive Secretaries and Executive Administrative Assistants (43-6011.00), Facilities Managers (11-3013.00), First-Line Supervisors of Office and Administrative Support Workers (43-1011.00), General and Operations Managers (11-1021.00), Project Management Specialists (13-1082.00)",62470.0,81420,106470,140870,188820
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential.","Adult Basic Education Instructor (ABE Instructor), Adult Basic Education Teacher (ABE Teacher), Adult Education Instructor, Adult Education Teacher, ESL Instructor (English as a Second Language Instructor), ESL Teacher (English as a Second Language Teacher), ESOL Teacher (English for Speakers of Other Languages Teacher), GED Instructor (General Educational Development Instructor), GED Teacher (General Educational Development Teacher), Teacher","Observe and evaluate students' work to determine progress and make suggestions for improvement., Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics., Establish clear objectives for all lessons, units, and projects and communicate those objectives to students., Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests., Prepare students for further education by encouraging them to explore learning opportunities and to persevere with challenging tasks.","English Language, Education and Training, Customer and Personal Service, Administrative","Instructing, Active Listening, Learning Strategies, Reading Comprehension, Speaking","Oral Expression, Written Comprehension, Written Expression, Oral Comprehension, Speech Clarity","Thinking Creatively, Interpreting the Meaning of Information for Others, Coaching and Developing Others, Training and Teaching Others, Making Decisions and Solving Problems","Evaluate student work., Monitor student performance., Assess educational needs of students., Develop instructional objectives., Modify teaching methods or materials to accommodate student needs.","Wireless presenters, Computer data input scanners, Overhead data projectors, Laptop computers, Interactive whiteboards","Google Workspace software, Microsoft Office software, Blackboard software, Computerized testing software, Learning management system LMS, Quizlet, Edpuzzle, Kahoot!, Microsoft Excel, Microsoft Outlook",Job Zone Four: Considerable Preparation Needed,"Most of these occupations require a four-year bachelor's degree, but some do not.","A considerable amount of work-related skill, knowledge, or experience is needed for these occupations. For example, an accountant must complete four years of college and work for several years in accounting to be considered qualified.","Employees in these occupations usually need several years of work-related experience, on-the-job training, and/or vocational training.",(7.0 to < 8.0),"Many of these occupations involve coordinating, supervising, managing, or training others. Examples include real estate brokers, sales managers, database administrators, graphic designers, conservation scientists, art directors, and cost estimators.",Social,"Dependability, Integrity, Self-Control, Adaptability/Flexibility, Concern for Others","Relationships, Independence, Achievement","E-Mail, Face-to-Face Discussions with Individuals and Within Teams, Determine Tasks, Priorities and Goals, Coordinate or Lead Others in Accomplishing Work Activities, Contact With Others","American Association for Adult and Continuing Education, American Federation of Teachers, AFL-CIO, Association for General and Liberal Studies, Coalition on Adult Basic Education, College Reading and Learning Association, International Literacy Association, Kappa Delta Pi, International Honor Society in Education, Literacy Research Association, National Association of State Directors of Adult Education, National Council of Teachers of English","Elementary School Teachers, Except Special Education (25-2021.00), Middle School Teachers, Except Special and Career/Technical Education (25-2022.00), Secondary School Teachers, Except Special and Career/Technical Education (25-2031.00), Special Education Teachers, Elementary School (25-2056.00), Tutors (25-3041.00)",39710.0,48580,60560,78230,97980
